State,Source.Income,Income.Range,Number.Tax.Fillers,Average.Income
PE,Other sources of income,"Less than $25,000",520,20000
PE,Other sources of income,"Less than $25,000",110,20000
PE,Other sources of income,"Between $25,000 and $49,999",100,37000
PE,Other sources of income,"Between $25,000 and $49,999",40,37000
PE,Other sources of income,"Between $50,000 and $99,999",20,75000
PE,Other sources of income,"Between $50,000 and $99,999",20,75000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Employment,"Less than $25,000",2800,20000
PE,Employment,"Less than $25,000",240,20000
PE,Employment,"Between $25,000 and $49,999",3360,37000
PE,Employment,"Between $25,000 and $49,999",650,37000
PE,Employment,"Between $50,000 and $99,999",3190,75000
PE,Employment,"Between $50,000 and $99,999",900,75000
PE,Employment,"$100,000 and Above",470,130000
PE,Employment,"$100,000 and Above",0,130000
PE,Investment,"Less than $25,000",50,20000
PE,Investment,"Less than $25,000",50,20000
PE,Investment,"Between $25,000 and $49,999",0,37000
PE,Investment,"Between $25,000 and $49,999",30,37000
PE,Investment,"Between $50,000 and $99,999",0,75000
PE,Investment,"Between $50,000 and $99,999",40,75000
PE,Investment,"$100,000 and Above",30,130000
PE,Pension,"Less than $25,000",870,20000
PE,Pension,"Less than $25,000",310,20000
PE,Pension,"Between $25,000 and $49,999",770,37000
PE,Pension,"Between $25,000 and $49,999",320,37000
PE,Pension,"Between $50,000 and $99,999",390,75000
PE,Pension,"Between $50,000 and $99,999",260,75000
PE,Pension,"$100,000 and Above",0,130000
PE,Pension,"$100,000 and Above",40,130000
PE,Self-employment,"Less than $25,000",170,20000
PE,Self-employment,"Between $25,000 and $49,999",70,37000
PE,Self-employment,"Between $50,000 and $99,999",30,75000
PE,Self-employment,"$100,000 and Above",0,130000
PE,No income,"Less than $25,000",190,20000
PE,No income,"Less than $25,000",0,20000
PE,Other sources of income,"Less than $25,000",760,20000
PE,Other sources of income,"Less than $25,000",130,20000
PE,Other sources of income,"Between $25,000 and $49,999",200,37000
PE,Other sources of income,"Between $25,000 and $49,999",70,37000
PE,Other sources of income,"Between $50,000 and $99,999",30,75000
PE,Other sources of income,"Between $50,000 and $99,999",20,75000
PE,Other sources of income,"$100,000 and Above",20,130000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Employment,"Less than $25,000",3790,20000
PE,Employment,"Less than $25,000",510,20000
PE,Employment,"Between $25,000 and $49,999",3280,37000
PE,Employment,"Between $25,000 and $49,999",1070,37000
PE,Employment,"Between $50,000 and $99,999",2290,75000
PE,Employment,"Between $50,000 and $99,999",1400,75000
PE,Employment,"$100,000 and Above",0,130000
PE,Employment,"$100,000 and Above",650,130000
PE,Investment,"Less than $25,000",230,20000
PE,Investment,"Less than $25,000",270,20000
PE,Investment,"Between $25,000 and $49,999",10,37000
PE,Investment,"Between $25,000 and $49,999",270,37000
PE,Investment,"Between $50,000 and $99,999",0,75000
PE,Investment,"Between $50,000 and $99,999",320,75000
PE,Investment,"$100,000 and Above",0,130000
PE,Investment,"$100,000 and Above",300,130000
PE,Pension,"Less than $25,000",1900,20000
PE,Pension,"Less than $25,000",840,20000
PE,Pension,"Between $25,000 and $49,999",1210,37000
PE,Pension,"Between $25,000 and $49,999",1040,37000
PE,Pension,"Between $50,000 and $99,999",450,75000
PE,Pension,"Between $50,000 and $99,999",750,75000
PE,Pension,"$100,000 and Above",0,130000
PE,Pension,"$100,000 and Above",90,130000
PE,Self-employment,"Less than $25,000",450,20000
PE,Self-employment,"Between $25,000 and $49,999",260,37000
PE,Self-employment,"Between $50,000 and $99,999",180,75000
PE,Self-employment,"$100,000 and Above",70,130000
PE,Multiple sources of income,"Less than $25,000",0,20000
PE,No income,"Less than $25,000",430,20000
PE,No income,"Less than $25,000",20,20000
PE,Other sources of income,"Less than $25,000",1270,20000
PE,Other sources of income,"Less than $25,000",250,20000
PE,Other sources of income,"Between $25,000 and $49,999",290,37000
PE,Other sources of income,"Between $25,000 and $49,999",140,37000
PE,Other sources of income,"Between $50,000 and $99,999",50,75000
PE,Other sources of income,"Between $50,000 and $99,999",50,75000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Employment,"Less than $25,000",310,20000
PE,Employment,"Less than $25,000",70,20000
PE,Employment,"Between $25,000 and $49,999",320,37000
PE,Employment,"Between $25,000 and $49,999",110,37000
PE,Employment,"Between $50,000 and $99,999",140,75000
PE,Employment,"Between $50,000 and $99,999",60,75000
PE,Employment,"$100,000 and Above",0,130000
PE,Employment,"$100,000 and Above",10,130000
PE,Investment,"Less than $25,000",0,20000
PE,Investment,"Less than $25,000",0,20000
PE,Investment,"Between $25,000 and $49,999",10,37000
PE,Investment,"Between $50,000 and $99,999",0,75000
PE,Investment,"$100,000 and Above",0,130000
PE,Pension,"Less than $25,000",340,20000
PE,Pension,"Less than $25,000",120,20000
PE,Pension,"Between $25,000 and $49,999",160,37000
PE,Pension,"Between $25,000 and $49,999",60,37000
