State,Source.Income,Income.Range,Number.Tax.Fillers,Average.Income
PE,Pension,"Between $50,000 and $99,999",40,75000
PE,Pension,"Between $50,000 and $99,999",30,75000
PE,Pension,"$100,000 and Above",0,130000
PE,Self-employment,"Less than $25,000",0,20000
PE,Self-employment,"Less than $25,000",30,20000
PE,Self-employment,"Between $25,000 and $49,999",0,37000
PE,Self-employment,"Between $25,000 and $49,999",0,37000
PE,Self-employment,"Between $50,000 and $99,999",0,75000
PE,Self-employment,"$100,000 and Above",0,130000
PE,No income,"Less than $25,000",40,20000
PE,No income,"Less than $25,000",0,20000
PE,Other sources of income,"Less than $25,000",190,20000
PE,Other sources of income,"Less than $25,000",50,20000
PE,Other sources of income,"Between $25,000 and $49,999",30,37000
PE,Other sources of income,"Between $25,000 and $49,999",10,37000
PE,Other sources of income,"Between $50,000 and $99,999",0,75000
PE,Other sources of income,"Between $50,000 and $99,999",0,75000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Employment,"Less than $25,000",850,20000
PE,Employment,"Less than $25,000",80,20000
PE,Employment,"Between $25,000 and $49,999",1080,37000
PE,Employment,"Between $25,000 and $49,999",230,37000
PE,Employment,"Between $50,000 and $99,999",880,75000
PE,Employment,"Between $50,000 and $99,999",200,75000
PE,Employment,"$100,000 and Above",100,130000
PE,Employment,"$100,000 and Above",0,130000
PE,Investment,"Less than $25,000",0,20000
PE,Investment,"Less than $25,000",0,20000
PE,Investment,"Between $25,000 and $49,999",0,37000
PE,Investment,"Between $25,000 and $49,999",0,37000
PE,Investment,"Between $50,000 and $99,999",0,75000
PE,Investment,"$100,000 and Above",0,130000
PE,Pension,"Less than $25,000",360,20000
PE,Pension,"Less than $25,000",100,20000
PE,Pension,"Between $25,000 and $49,999",250,37000
PE,Pension,"Between $25,000 and $49,999",90,37000
PE,Pension,"Between $50,000 and $99,999",80,75000
PE,Pension,"Between $50,000 and $99,999",30,75000
PE,Pension,"$100,000 and Above",0,130000
PE,Self-employment,"Less than $25,000",40,20000
PE,Self-employment,"Between $25,000 and $49,999",10,37000
PE,Self-employment,"Between $50,000 and $99,999",0,75000
PE,Self-employment,"$100,000 and Above",0,130000
PE,No income,"Less than $25,000",60,20000
PE,No income,"Less than $25,000",0,20000
PE,Other sources of income,"Less than $25,000",300,20000
PE,Other sources of income,"Less than $25,000",60,20000
PE,Other sources of income,"Between $25,000 and $49,999",90,37000
PE,Other sources of income,"Between $25,000 and $49,999",20,37000
PE,Other sources of income,"Between $50,000 and $99,999",0,75000
PE,Other sources of income,"Between $50,000 and $99,999",0,75000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Employment,"Less than $25,000",1010,20000
PE,Employment,"Less than $25,000",160,20000
PE,Employment,"Between $25,000 and $49,999",1100,37000
PE,Employment,"Between $25,000 and $49,999",390,37000
PE,Employment,"Between $50,000 and $99,999",620,75000
PE,Employment,"Between $50,000 and $99,999",330,75000
PE,Employment,"$100,000 and Above",90,130000
PE,Employment,"$100,000 and Above",110,130000
PE,Investment,"Less than $25,000",10,20000
PE,Investment,"Less than $25,000",40,20000
PE,Investment,"Between $25,000 and $49,999",0,37000
PE,Investment,"Between $25,000 and $49,999",40,37000
PE,Investment,"Between $50,000 and $99,999",70,75000
PE,Investment,"$100,000 and Above",60,130000
PE,Pension,"Less than $25,000",950,20000
PE,Pension,"Less than $25,000",340,20000
PE,Pension,"Between $25,000 and $49,999",550,37000
PE,Pension,"Between $25,000 and $49,999",280,37000
PE,Pension,"Between $50,000 and $99,999",120,75000
PE,Pension,"Between $50,000 and $99,999",130,75000
PE,Pension,"$100,000 and Above",0,130000
PE,Pension,"$100,000 and Above",20,130000
PE,Self-employment,"Less than $25,000",120,20000
PE,Self-employment,"Between $25,000 and $49,999",70,37000
PE,Self-employment,"Between $50,000 and $99,999",30,75000
PE,Self-employment,"$100,000 and Above",20,130000
PE,No income,"Less than $25,000",80,20000
PE,No income,"Less than $25,000",10,20000
PE,Other sources of income,"Less than $25,000",460,20000
PE,Other sources of income,"Less than $25,000",100,20000
PE,Other sources of income,"Between $25,000 and $49,999",110,37000
PE,Other sources of income,"Between $25,000 and $49,999",40,37000
PE,Other sources of income,"Between $50,000 and $99,999",30,75000
PE,Other sources of income,"Between $50,000 and $99,999",10,75000
PE,Other sources of income,"$100,000 and Above",0,130000
PE,Other sources of income,"$100,000 and Above",0,130000
NS,Employment,"Less than $25,000",5750,20000
NS,Employment,"Less than $25,000",1100,20000
NS,Employment,"Between $25,000 and $49,999",4770,37000
NS,Employment,"Between $25,000 and $49,999",1680,37000
NS,Employment,"Between $50,000 and $99,999",4150,75000
NS,Employment,"Between $50,000 and $99,999",1560,75000
NS,Employment,"$100,000 and Above",880,130000
NS,Employment,"$100,000 and Above",0,130000
NS,Investment,"Less than $25,000",150,20000
NS,Investment,"Less than $25,000",270,20000
NS,Investment,"Between $25,000 and $49,999",0,37000
NS,Investment,"Between $25,000 and $49,999",230,37000
NS,Investment,"Between $50,000 and $99,999",0,75000
NS,Investment,"Between $50,000 and $99,999",310,75000
NS,Investment,"$100,000 and Above",0,130000
NS,Investment,"$100,000 and Above",260,130000
NS,Pension,"Less than $25,000",4750,20000
NS,Pension,"Less than $25,000",1810,20000
NS,Pension,"Between $25,000 and $49,999",3560,37000
NS,Pension,"Between $25,000 and $49,999",1720,37000
NS,Pension,"Between $50,000 and $99,999",1370,75000
NS,Pension,"Between $50,000 and $99,999",1180,75000
NS,Pension,"$100,000 and Above",0,130000
NS,Pension,"$100,000 and Above",170,130000
NS,Self-employment,"Less than $25,000",30,20000
NS,Self-employment,"Less than $25,000",770,20000
NS,Self-employment,"Between $25,000 and $49,999",20,37000
NS,Self-employment,"Between $25,000 and $49,999",240,37000
NS,Self-employment,"Between $50,000 and $99,999",0,75000
NS,Self-employment,"Between $50,000 and $99,999",140,75000
NS,Self-employment,"$100,000 and Above",0,130000
NS,Self-employment,"$100,000 and Above",130,130000
NS,Multiple sources of income,"Less than $25,000",0,20000
NS,Multiple sources of income,"Less than $25,000",0,20000
NS,Multiple sources of income,"Between $50,000 and $99,999",0,75000
NS,No income,"Less than $25,000",2110,20000
NS,No income,"Less than $25,000",120,20000
NS,Other sources of income,"Less than $25,000",4430,20000
NS,Other sources of income,"Less than $25,000",680,20000
NS,Other sources of income,"Between $25,000 and $49,999",290,37000
NS,Other sources of income,"Between $25,000 and $49,999",170,37000
NS,Other sources of income,"Between $50,000 and $99,999",110,75000
NS,Other sources of income,"Between $50,000 and $99,999",70,75000
NS,Other sources of income,"$100,000 and Above",0,130000
NS,Other sources of income,"$100,000 and Above",60,130000
NS,Employment,"Less than $25,000",16300,20000
NS,Employment,"Less than $25,000",1780,20000
NS,Employment,"Between $25,000 and $49,999",19430,37000
NS,Employment,"Between $25,000 and $49,999",4750,37000
NS,Employment,"Between $50,000 and $99,999",22960,75000
NS,Employment,"Between $50,000 and $99,999",6790,75000
NS,Employment,"$100,000 and Above",5060,130000
NS,Employment,"$100,000 and Above",0,130000
NS,Investment,"Less than $25,000",180,20000
NS,Investment,"Less than $25,000",450,20000
NS,Investment,"Between $25,000 and $49,999",0,37000
NS,Investment,"Between $25,000 and $49,999",360,37000
NS,Investment,"Between $50,000 and $99,999",0,75000
NS,Investment,"Between $50,000 and $99,999",420,75000
NS,Investment,"$100,000 and Above",0,130000
NS,Investment,"$100,000 and Above",240,130000
NS,Pension,"Less than $25,000",5220,20000
NS,Pension,"Less than $25,000",1800,20000
NS,Pension,"Between $25,000 and $49,999",5110,37000
NS,Pension,"Between $25,000 and $49,999",2430,37000
NS,Pension,"Between $50,000 and $99,999",2600,75000
NS,Pension,"Between $50,000 and $99,999",2070,75000
NS,Pension,"$100,000 and Above",0,130000
NS,Pension,"$100,000 and Above",290,130000
NS,Self-employment,"Less than $25,000",0,20000
NS,Self-employment,"Less than $25,000",1200,20000
NS,Self-employment,"Between $25,000 and $49,999",410,37000
NS,Self-employment,"Between $50,000 and $99,999",190,75000
NS,Self-employment,"$100,000 and Above",100,130000
NS,Multiple sources of income,"Less than $25,000",0,20000
NS,Multiple sources of income,"Less than $25,000",0,20000
NS,No income,"Less than $25,000",2040,20000
NS,No income,"Less than $25,000",140,20000
NS,Other sources of income,"Less than $25,000",5470,20000
NS,Other sources of income,"Less than $25,000",900,20000
NS,Other sources of income,"Between $25,000 and $49,999",980,37000
NS,Other sources of income,"Between $25,000 and $49,999",370,37000
NS,Other sources of income,"Between $50,000 and $99,999",220,75000
NS,Other sources of income,"Between $50,000 and $99,999",160,75000
NS,Other sources of income,"$100,000 and Above",120,130000
NS,Other sources of income,"$100,000 and Above",100,130000
NS,Employment,"Less than $25,000",18440,20000
NS,Employment,"Less than $25,000",2490,20000
NS,Employment,"Between $25,000 and $49,999",15780,37000
NS,Employment,"Between $25,000 and $49,999",5230,37000
NS,Employment,"Between $50,000 and $99,999",14150,75000
NS,Employment,"Between $50,000 and $99,999",7290,75000
NS,Employment,"$100,000 and Above",0,130000
NS,Employment,"$100,000 and Above",3940,130000
NS,Investment,"Less than $25,000",310,20000
NS,Investment,"Less than $25,000",1140,20000
NS,Investment,"Between $25,000 and $49,999",30,37000
NS,Investment,"Between $25,000 and $49,999",2220,37000
NS,Investment,"Between $50,000 and $99,999",20,75000
NS,Investment,"Between $50,000 and $99,999",3010,75000
NS,Investment,"$100,000 and Above",0,130000
NS,Investment,"$100,000 and Above",2860,130000
NS,Pension,"Less than $25,000",8840,20000
NS,Pension,"Less than $25,000",3980,20000
NS,Pension,"Between $25,000 and $49,999",6530,37000
NS,Pension,"Between $25,000 and $49,999",5180,37000
NS,Pension,"Between $50,000 and $99,999",2620,75000
NS,Pension,"Between $50,000 and $99,999",4000,75000
NS,Pension,"$100,000 and Above",0,130000
NS,Pension,"$100,000 and Above",770,130000
NS,Self-employment,"Less than $25,000",0,20000
NS,Self-employment,"Less than $25,000",2740,20000
NS,Self-employment,"Between $25,000 and $49,999",1280,37000
NS,Self-employment,"Between $50,000 and $99,999",940,75000
NS,Self-employment,"$100,000 and Above",0,130000
NS,Self-employment,"$100,000 and Above",520,130000
NS,Multiple sources of income,"Less than $25,000",0,20000
NS,No income,"Less than $25,000",2940,20000
NS,No income,"Less than $25,000",160,20000
NS,Other sources of income,"Less than $25,000",6390,20000
NS,Other sources of income,"Less than $25,000",1260,20000
NS,Other sources of income,"Between $25,000 and $49,999",930,37000
NS,Other sources of income,"Between $25,000 and $49,999",620,37000
NS,Other sources of income,"Between $50,000 and $99,999",290,75000
NS,Other sources of income,"Between $50,000 and $99,999",290,75000
NS,Other sources of income,"$100,000 and Above",0,130000
NS,Other sources of income,"$100,000 and Above",290,130000
NS,Employment,"Less than $25,000",390,20000
NS,Employment,"Less than $25,000",100,20000
NS,Employment,"Between $25,000 and $49,999",320,37000
NS,Employment,"Between $25,000 and $49,999",130,37000
NS,Employment,"Between $50,000 and $99,999",170,75000
NS,Employment,"Between $50,000 and $99,999",60,75000
NS,Employment,"$100,000 and Above",20,130000
NS,Employment,"$100,000 and Above",0,130000
NS,Investment,"Less than $25,000",0,20000
NS,Investment,"Less than $25,000",20,20000
NS,Investment,"Between $25,000 and $49,999",0,37000
NS,Investment,"Between $25,000 and $49,999",10,37000
NS,Investment,"Between $50,000 and $99,999",0,75000
NS,Investment,"$100,000 and Above",0,130000
NS,Pension,"Less than $25,000",610,20000
NS,Pension,"Less than $25,000",220,20000
NS,Pension,"Between $25,000 and $49,999",160,37000
NS,Pension,"Between $25,000 and $49,999",120,37000
NS,Pension,"Between $50,000 and $99,999",60,75000
NS,Pension,"Between $50,000 and $99,999",40,75000
NS,Pension,"$100,000 and Above",0,130000
NS,Pension,"$100,000 and Above",10,130000
NS,Self-employment,"Less than $25,000",0,20000
NS,Self-employment,"Less than $25,000",40,20000
NS,Self-employment,"Between $25,000 and $49,999",20,37000
NS,Self-employment,"Between $50,000 and $99,999",0,75000
NS,Self-employment,"Between $50,000 and $99,999",0,75000
NS,Self-employment,"$100,000 and Above",0,130000
NS,No income,"Less than $25,000",140,20000
NS,No income,"Less than $25,000",10,20000
NS,Other sources of income,"Less than $25,000",390,20000
NS,Other sources of income,"Less than $25,000",80,20000
NS,Other sources of income,"Between $25,000 and $49,999",30,37000
NS,Other sources of income,"Between $25,000 and $49,999",20,37000
NS,Other sources of income,"Between $50,000 and $99,999",10,75000
NS,Other sources of income,"Between $50,000 and $99,999",0,75000
NS,Other sources of income,"$100,000 and Above",0,130000
NS,Other sources of income,"$100,000 and Above",0,130000
NS,Employment,"Less than $25,000",1070,20000
NS,Employment,"Less than $25,000",120,20000
NS,Employment,"Between $25,000 and $49,999",1150,37000
NS,Employment,"Between $25,000 and $49,999",330,37000
NS,Employment,"Between $50,000 and $99,999",780,75000
NS,Employment,"Between $50,000 and $99,999",250,75000
NS,Employment,"$100,000 and Above",110,130000
NS,Employment,"$100,000 and Above",0,130000
NS,Investment,"Less than $25,000",0,20000
NS,Investment,"Less than $25,000",20,20000
NS,Investment,"Between $25,000 and $49,999",10,37000
NS,Investment,"Between $50,000 and $99,999",20,75000
NS,Investment,"$100,000 and Above",10,130000
NS,Pension,"Less than $25,000",570,20000
NS,Pension,"Less than $25,000",160,20000
NS,Pension,"Between $25,000 and $49,999",270,37000
NS,Pension,"Between $25,000 and $49,999",120,37000
NS,Pension,"Between $50,000 and $99,999",100,75000
NS,Pension,"Between $50,000 and $99,999",70,75000
NS,Pension,"$100,000 and Above",0,130000
NS,Pension,"$100,000 and Above",0,130000
NS,Self-employment,"Less than $25,000",110,20000
NS,Self-employment,"Between $25,000 and $49,999",30,37000
NS,Self-employment,"Between $50,000 and $99,999",0,75000
NS,Self-employment,"$100,000 and Above",0,130000
NS,Multiple sources of income,"Less than $25,000",0,20000
NS,No income,"Less than $25,000",120,20000
NS,No income,"Less than $25,000",20,20000
NS,Other sources of income,"Less than $25,000",390,20000
NS,Other sources of income,"Less than $25,000",80,20000
NS,Other sources of income,"Between $25,000 and $49,999",60,37000
NS,Other sources of income,"Between $25,000 and $49,999",30,37000
NS,Other sources of income,"Between $50,000 and $99,999",0,75000
NS,Other sources of income,"Between $50,000 and $99,999",0,75000
NS,Other sources of income,"$100,000 and Above",0,130000
NS,Employment,"Less than $25,000",1310,20000
NS,Employment,"Less than $25,000",270,20000
NS,Employment,"Between $25,000 and $49,999",1250,37000
NS,Employment,"Between $25,000 and $49,999",550,37000
NS,Employment,"Between $50,000 and $99,999",850,75000
